# Generated by Autoplot on Mon May 09 13:58:52 CDT 2022
# TITLE: RBSP-A/EMFISIS  electron density
# UNITS: cm**-3
 Epoch(UTC), density(cm**-3)
2018-01-30T01:22:10.127Z, 1232.8
2018-01-30T01:22:16.127Z, 1016.3
2018-01-30T01:22:22.127Z, 1016.4
2018-01-30T01:22:28.127Z, 1016.4
2018-01-30T01:22:34.127Z, 1016.5
2018-01-30T01:22:40.127Z, 1016.5
2018-01-30T01:22:46.127Z, 1233.0
2018-01-30T01:22:52.127Z, 1233.1
2018-01-30T01:22:58.127Z, 1016.6
2018-01-30T01:23:04.127Z, 1119.7
2018-01-30T01:23:10.127Z, 1233.2
2018-01-30T01:23:16.127Z, 1119.8
2018-01-30T01:23:22.127Z, 923.11
2018-01-30T01:23:28.127Z, 923.14
2018-01-30T01:23:34.127Z, 923.19
2018-01-30T01:23:40.127Z, 923.21
2018-01-30T01:23:46.127Z, 1120.0
2018-01-30T01:23:52.127Z, 1120.0
2018-01-30T01:23:58.127Z, 923.33
2018-01-30T01:24:04.127Z, 923.34
2018-01-30T01:24:10.127Z, 1120.1
2018-01-30T01:24:16.127Z, 1120.1
2018-01-30T01:24:22.127Z, 1120.2
2018-01-30T01:24:28.127Z, 923.48
2018-01-30T01:24:34.127Z, 923.52
2018-01-30T01:24:40.127Z, 923.55
2018-01-30T01:24:46.127Z, 923.59
2018-01-30T01:24:52.127Z, 1120.3
2018-01-30T01:24:58.127Z, 1120.4
2018-01-30T01:25:04.127Z, 923.68
2018-01-30T01:25:10.127Z, 923.71
2018-01-30T01:25:16.127Z, 1017.4
2018-01-30T01:25:22.127Z, 1017.4
2018-01-30T01:25:28.127Z, 838.74
2018-01-30T01:25:34.127Z, 838.77
2018-01-30T01:25:40.127Z, 838.80
2018-01-30T01:25:46.127Z, 838.84
2018-01-30T01:25:52.127Z, 838.85
2018-01-30T01:25:58.127Z, 1017.6
2018-01-30T01:26:04.127Z, 838.91
2018-01-30T01:26:10.127Z, 838.96
2018-01-30T01:26:16.127Z, 1017.7
2018-01-30T01:26:22.127Z, 1017.7
2018-01-30T01:26:28.127Z, 1017.7
2018-01-30T01:26:34.127Z, 839.07
2018-01-30T01:26:40.127Z, 839.09
2018-01-30T01:26:46.127Z, 839.13
2018-01-30T01:26:52.127Z, 1017.9
2018-01-30T01:26:58.127Z, 1017.9
2018-01-30T01:27:04.127Z, 1121.0
2018-01-30T01:27:10.127Z, 924.30
2018-01-30T01:27:16.127Z, 924.33
2018-01-30T01:27:22.127Z, 1121.1
2018-01-30T01:27:28.127Z, 1121.1
2018-01-30T01:27:34.127Z, 924.42
2018-01-30T01:27:40.127Z, 839.37
2018-01-30T01:27:46.128Z, 924.47
2018-01-30T01:27:52.127Z, 839.42
2018-01-30T01:27:58.128Z, 839.46
2018-01-30T01:28:04.128Z, 1018.2
2018-01-30T01:28:10.128Z, 1018.2
2018-01-30T01:28:16.128Z, 839.52
2018-01-30T01:28:22.128Z, 839.56
2018-01-30T01:28:28.128Z, 1018.3
2018-01-30T01:28:34.128Z, 1018.3
2018-01-30T01:28:40.128Z, 1018.3
2018-01-30T01:28:46.128Z, 1121.4
2018-01-30T01:28:52.128Z, 1121.4
2018-01-30T01:28:58.128Z, 1018.4
2018-01-30T01:29:04.128Z, 1018.4
2018-01-30T01:29:10.128Z, 1018.5
2018-01-30T01:29:16.128Z, 839.78
2018-01-30T01:29:22.128Z, 839.80
2018-01-30T01:29:28.128Z, 1018.5
2018-01-30T01:29:34.128Z, 1018.6
2018-01-30T01:29:40.128Z, 1018.6
2018-01-30T01:29:46.128Z, 1121.7
2018-01-30T01:29:52.128Z, 1121.7
2018-01-30T01:29:58.128Z, 1121.7
2018-01-30T01:30:04.128Z, 1018.7
2018-01-30T01:30:10.128Z, 1121.8
2018-01-30T01:30:16.128Z, 1121.8
2018-01-30T01:30:22.128Z, 840.04
2018-01-30T01:30:28.128Z, 840.05
2018-01-30T01:30:34.128Z, 925.16
2018-01-30T01:30:40.128Z, 840.09
2018-01-30T01:30:46.128Z, 925.20
2018-01-30T01:30:52.128Z, 840.14
2018-01-30T01:30:58.128Z, 840.17
2018-01-30T01:31:04.128Z, 925.25
2018-01-30T01:31:10.128Z, 925.28
2018-01-30T01:31:16.128Z, 925.30
2018-01-30T01:31:22.128Z, 1019.0
2018-01-30T01:31:28.128Z, 840.27
2018-01-30T01:31:34.128Z, 840.29
2018-01-30T01:31:40.128Z, 925.38
2018-01-30T01:31:46.128Z, 925.41
2018-01-30T01:31:52.128Z, 925.43
2018-01-30T01:31:58.128Z, 925.45
2018-01-30T01:32:04.128Z, 925.46
2018-01-30T01:32:10.128Z, 925.49
2018-01-30T01:32:16.128Z, 925.5
2018-01-30T01:32:22.128Z, 1019.2
2018-01-30T01:32:28.128Z, 840.47
2018-01-30T01:32:34.128Z, 763.21
2018-01-30T01:32:40.128Z, 763.22
2018-01-30T01:32:46.128Z, 763.25
2018-01-30T01:32:52.128Z, 763.25
2018-01-30T01:32:58.128Z, 763.28
2018-01-30T01:33:04.128Z, 763.29
2018-01-30T01:33:10.128Z, 763.32
2018-01-30T01:33:16.128Z, 925.70
2018-01-30T01:33:22.128Z, 925.72
2018-01-30T01:33:28.128Z, 925.73
2018-01-30T01:33:34.128Z, 763.39
2018-01-30T01:33:40.128Z, 763.41
2018-01-30T01:33:46.128Z, 925.79
2018-01-30T01:33:52.128Z, 925.81
2018-01-30T01:33:58.128Z, 925.83
2018-01-30T01:34:04.628Z, 925.85
2018-01-30T01:34:10.628Z, 840.80
2018-01-30T01:34:16.628Z, 840.82
2018-01-30T01:34:22.628Z, 840.84
2018-01-30T01:34:28.628Z, 763.56
2018-01-30T01:34:34.628Z, 693.36
2018-01-30T01:34:40.629Z, 693.38
2018-01-30T01:34:46.629Z, 693.39
2018-01-30T01:34:52.629Z, 693.41
2018-01-30T01:34:58.629Z, 693.42
2018-01-30T01:35:04.629Z, 693.45
2018-01-30T01:35:10.629Z, 693.46
2018-01-30T01:35:16.629Z, 693.48
2018-01-30T01:35:22.629Z, 693.49
2018-01-30T01:35:28.629Z, 841.03
2018-01-30T01:35:34.629Z, 693.52
2018-01-30T01:35:40.629Z, 693.54
2018-01-30T01:35:46.629Z, 693.55
2018-01-30T01:35:52.629Z, 693.58
2018-01-30T01:35:58.629Z, 693.59
2018-01-30T01:36:04.629Z, 693.61
2018-01-30T01:36:10.629Z, 693.62
2018-01-30T01:36:16.629Z, 693.64
2018-01-30T01:36:22.629Z, 693.65
2018-01-30T01:36:28.629Z, 693.67
2018-01-30T01:36:34.629Z, 693.68
2018-01-30T01:36:40.629Z, 693.70
2018-01-30T01:36:46.629Z, 693.71
2018-01-30T01:36:52.629Z, 693.73
2018-01-30T01:36:58.629Z, 693.74
2018-01-30T01:37:04.629Z, 693.76
2018-01-30T01:37:10.629Z, 693.77
2018-01-30T01:37:16.629Z, 693.79
2018-01-30T01:37:22.629Z, 693.80
2018-01-30T01:37:28.629Z, 693.82
2018-01-30T01:37:34.629Z, 693.83
2018-01-30T01:37:40.629Z, 693.85
2018-01-30T01:37:46.629Z, 693.86
2018-01-30T01:37:52.629Z, 693.88
2018-01-30T01:37:58.629Z, 693.89
2018-01-30T01:38:04.629Z, 693.90
2018-01-30T01:38:10.629Z, 693.91
2018-01-30T01:38:16.629Z, 693.93
2018-01-30T01:38:22.629Z, 693.94
2018-01-30T01:38:28.629Z, 764.17
2018-01-30T01:38:34.629Z, 764.19
2018-01-30T01:38:40.629Z, 841.5
2018-01-30T01:38:46.629Z, 694.0
2018-01-30T01:38:52.629Z, 694.01
2018-01-30T01:38:58.629Z, 841.54
2018-01-30T01:39:04.629Z, 841.55
2018-01-30T01:39:10.629Z, 764.27
2018-01-30T01:39:16.629Z, 764.28
2018-01-30T01:39:22.629Z, 764.29
2018-01-30T01:39:28.629Z, 764.31
2018-01-30T01:39:34.629Z, 764.32
2018-01-30T01:39:40.629Z, 764.34
2018-01-30T01:39:46.629Z, 694.12
2018-01-30T01:39:52.629Z, 694.14
2018-01-30T01:39:58.629Z, 630.35
